X,Y,FID,LONGITUDE,LATITUDE,NAV_UNIT_I,UNLOCODE,NAV_UNIT_N,LOCATION_D,FACILITY_T,STREET_ADD,CITY_OR_TO,STATE_POST,ZIPCODE,COUNTY_NAM,COUNTY_FIP,CONGRESS,CONGRESS_F,WTWY_NAME,PORT_NAME,PSA_NAME,MILE,BANK,LATITUDE1,LONGITUDE1,OPERATORS,OWNERS,PURPOSE,HIGHWAY_NO,RAILWAY_NO,LOCATION,DOCK,COMMODITIE,CONSTRUCTI,MECHANICAL,REMARKS,VERTICAL_D,DEPTH_MIN,DEPTH_MAX,BERTHING_L,BERTHING_T,DECK_HEIGH,DECK_HEI_1,SERVICE_IN,SERVICE_TE
-13138781.905,5874134.7104,130,-118.027686,46.582148,0239, ,LITTLE GOOSE LOCK, ,Lock and/or Dam, ,LACROSSE,WA,99143,Columbia,13,112,05,"Snake River, OR, WA and ID", , ,70.2, ,46.582148,-118.027686, ,Current Owner and Operator: U. S. Army Corps of Engineers, , , ,92710,2,"Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Pulp and Waste", , , , , , , , , , ,01-JAN-1990, 
-13139879.9605,5874094.5436,131,-118.03755,46.5819,023A, ,LITTLE GOOSE DAM (COFE), ,Dock, ,LACROSSE,WA,99143,Columbia,13,112,05,"Snake River, OR, WA and ID", , ,70.0, ,46.5819,-118.03755, , , , , ,92710,3,Fish, , , , , , , , , , ,01-JAN-1990, 
-13666672.734,6124861.0362,137,-122.76981,48.10812,023U, ,OPEN WATER, ,Open Water, ,PORT HADLOCK,WA,98339,Jefferson,31,112,06,"Port Townsend Harbor, WA","Jefferson County Port District, WA", ,2.0, ,48.10812,-122.76981, , , , , ,91113,1,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13666672.734,6124861.0362,138,-122.76981,48.10812,023V, ,BUOY, ,Dock, ,PORT HADLOCK,WA,98339,Jefferson,31,112,06,"Port Townsend Harbor, WA","Jefferson County Port District, WA", ,2.0, ,48.10812,-122.76981, , , , , ,91113,2,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13666672.734,6124861.0362,140,-122.76981,48.10812,023X, ,ANCHORAGE, ,Anchorage, ,PORT HADLOCK,WA,98339,Jefferson,31,112,06,"Port Townsend Harbor, WA","Jefferson County Port District, WA", ,2.0, ,48.10812,-122.76981, , , , , ,91113,5, , , , , , , , , , , ,01-JAN-1990, 
-13666672.734,6124861.0362,141,-122.76981,48.10812,023Y, ,POINT HUDSON MARINA, ,Marina, ,PORT HADLOCK,WA,98339,Jefferson,31,112,06,"Port Townsend Harbor, WA","Jefferson County Port District, WA", ,2.0, ,48.10812,-122.76981, , , , , ,91113,8, , , , , , , , , , , ,01-JAN-2014, 
-13645556.3171,6083078.2057,143,-122.580118,47.856883,0242, ,IN STREAM, ,Dock, , ,WA, ,Kitsap,35,116,06,"Hood Canal, WA", , ,9.0, ,47.856883,-122.580118, , , , , ,91137,1, , , , , , , , , , , ,01-JAN-1990, 
-13645728.4171,6083022.1301,144,-122.581664,47.856545,0243, ,HOOD CANAL, ,Dock, , ,WA, ,Kitsap,35,113,06,"Hood Canal, WA", , ,9.0, ,47.856545,-122.581664, , , , , ,91137,2,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated", , , , , , , , , , ,01-JAN-1990, 
-13672506.2093,6059079.2404,145,-122.822213,47.712026,0245, ,ZELATCHED PT., ,Dock, , ,WA, ,Jefferson,31,113,06,"Hood Canal, WA","Jefferson County Port District, WA", ,21.0, ,47.712026,-122.822213, , , , , ,91137,4, , , , , , , , , , , ,01-JAN-1990, 
-13645625.2239,6082741.7576,146,-122.580737,47.854855,0247,KG8,LOG STORAGE DOCK, ,Dock, ,KINGSTON,WA,98346,Kitsap,35,113,06,"Hood Canal, WA", , ,9.0, ,47.854855,-122.580737, , , , , ,91137,25,"Forest Products, Lumber, Logs, Woodchips | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | All Manufactured Equipment, Machinery and Products", , , , , , , , , , ,01-JAN-1990, 
-13696441.2356,5975835.0187,147,-123.037225,47.206436,024A,SHN,OAKLAND BAY WASH, ,Dock, ,SHELTON,WA,98584,Mason,45,112,06,"Hammersley Inlet, WA", , ,169.0, ,47.206436,-123.037225, , , , , ,91174,1,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material", , , , , , , , , , ,01-JAN-1990, 
-13696441.2356,5975835.0187,148,-123.037225,47.206436,024B,SHN,MOORING, ,Fleeting Area, ,SHELTON,WA,98584,Mason,45,112,06,"Hammersley Inlet, WA", , ,169.0, ,47.206436,-123.037225, , , , , ,91174,2,"Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Sulphur (Dry), Clay & Salt", , , , , , , , , , ,01-JAN-1990, 
-13696441.2356,5975835.0187,151,-123.037225,47.206436,024E,SHN,CHEVRON OIL CO, ,Dock, ,SHELTON,WA,98584,Mason,45,112,06,"Hammersley Inlet, WA", , ,169.0, ,47.206436,-123.037225, , , , , ,91174,20, , , , , , , , , , , ,01-JAN-1990, 
-13696441.2356,5975835.0187,153,-123.037225,47.206436,024H,SHN,MILWAUKEE CAR FERRY DOCK, ,Dock, ,SHELTON,WA,98584,Mason,45,112,06,"Hammersley Inlet, WA", , ,169.0, ,47.206436,-123.037225, , , , , ,91174,843,"Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material", , , , , , , , , , ,01-JAN-1990, 
-13702563.4737,5976735.1462,154,-123.092222,47.211929,024J,SHN,MILL DOCK & SLIP, ,Dock, ,SHELTON,WA,98584,Mason,45,112,06,"Hammersley Inlet, WA", , ,169.0, ,47.211929,-123.092222, , , , , ,91174,845,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13696441.2356,5975835.0187,155,-123.037225,47.206436,024K,SHN,SIMPSON LOG CO PWR PLANT, ,Dock, ,SHELTON,WA,98584,Mason,45,112,06,"Hammersley Inlet, WA", , ,169.0, ,47.206436,-123.037225, , , , , ,91174,846, , , , , , , , , , , ,01-JAN-1990, 
-13280478.0358,5770765.1584,158,-119.300564,45.940161,024S, ,MCNARY LOCK, ,Lock and/or Dam, ,PLYMOUTH,WA,99346,Benton,5,112,04,"Columbia River and Tributaries above Mcnary Lock and Dam to Kennewick, WA", , ,292.4, ,45.940161,-119.300564, ,Current Owner and Operator: U. S. Army Corps of Engineers, , , ,92293,301,"Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Crude Materials, Inedible Except", , , , , , , , , , ,01-JAN-1990, 
-13277752.4894,5770396.3472,160,-119.27608,45.937857,024U,UMA,TIDEWATER BARGE DOCK, ,Dock, ,UMATILLA,WA,97882,Benton,5,112,04,"Columbia River and Tributaries above Mcnary Lock and Dam to Kennewick, WA", , ,293.0, ,45.937857,-119.27608, , , , , ,92293,502, , , , , , , , , , , ,01-JAN-1990, 
-13812143.9314,5835452.7579,181,-124.0766,46.34279,025R, ,LONG BEACH, ,Dock, , ,WA, ,Pacific,49,113,03,"Long Beach, WA", , ,0.0, ,46.34279,-124.0766, , , , , ,91042,5, , , , , , , , , , , ,30-OCT-1991, 
-13874600.0656,6092764.3605,222,-124.637653,47.915234,0275, ,ANCHORAGE, ,Anchorage, ,LA PUSH,WA,98350,Clallam,9,116,06,"Quillayute River, WA","Clallam County Port District, WA", ,1.0, ,47.915234,-124.637653, , , , , ,91050,4, , , , , , , , , , , ,01-JAN-1990, 
-13874354.2722,6092438.9931,223,-124.635445,47.913275,0277, ,"USCG Station, La Push, WA","Left bank, Quillayute River, in northeast corner of marina approximately 0.5 mile above entrance jetties, La Push",Dock,350 Main Street,LA PUSH,WA,98350,Clallam,9,116,06,"Quillayute River, WA","Clallam County Port District, WA", ,1.0, ,47.913275,-124.635445,Current Operator: U.S. Coast Guard, ,Mooring U.S. Coast Guard vessels., , ,91050,12,"Gasoline, Jet Fuel, Kerosene", , , , , , , , , , ,01-JAN-1990, 
-13870161.4236,6168801.4625,225,-124.59778,48.371012,027B,NEB,NEAH BAY HARBOR, ,Anchorage, ,NEAH BAY,WA,98357,Clallam,9,116,06,"Neah Bay, WA","Clallam County Port District, WA", ,1.0, ,48.371012,-124.59778, , , , , ,91071,3, , , , , , , , , , , ,01-JAN-1990, 
-13870404.3227,6168565.523,226,-124.599962,48.369604,027C,NEB,"USCG Station, Neah Bay, WA","South side, Neah Bay harbor, approximately 0.6 mile west of entrance.",Dock,31 Coast Guard Drive,NEAH BAY,WA,98357,Clallam,9,116,06,"Neah Bay, WA","Clallam County Port District, WA", ,1.0, ,48.369604,-124.599962,Current Operator: U.S. Coast Guard, ,Mooring U.S. Coast Guard vessels., , ,91071,11, , , , , , , , , , , ,01-JAN-1990, 
-13869855.295,6169243.1964,228,-124.59503,48.373648,027F,NEB,MAKAH BAY SEAFOODS, ,Dock, ,NEAH BAY,WA,98357,Clallam,9,116,06,"Neah Bay, WA","Clallam County Port District, WA", ,1.0, ,48.373648,-124.59503, , , , , ,91071,853, , , , , , , , , , , ,01-JAN-1990, 
-13871985.95,6168234.2468,231,-124.61417,48.367627,027X,NEB,PACIFIC FISHERMEN INC COOP, ,Dock, ,NEAH BAY,WA,98357,Clallam,9,116,06,"Neah Bay, WA","Clallam County Port District, WA", ,1.0, ,48.367627,-124.61417, , , , , ,91071,880, , , , , , , , , , , ,01-JAN-1990, 
-13735886.8519,6129217.7154,232,-123.391571,48.134246,027Z,CLM,OPEN WATER, ,Open Water, ,PORT ANGELES,WA,98362,Clallam,9,116,06,"Port Angeles, WA","Clallam County Port District, WA", ,5.0, ,48.134246,-123.391571, , , , , ,91097,1,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases", , , , , , , , , , ,01-JAN-1990, 
-13738602.9362,6128815.406,233,-123.41597,48.131834,0280,CLM,OPEN WATER - BUOYS & DOLPHINS, ,Open Water, ,PORT ANGELES,WA,98362,Clallam,9,116,06,"Port Angeles, WA","Clallam County Port District, WA", ,5.0, ,48.131834,-123.41597, , , , , ,91097,2, , , , , , , , , , , ,01-JAN-1990, 
-13740925.0607,6130379.5483,234,-123.43683,48.141211,0281,CLM,EDIZ HOOK, ,Dock, ,PORT ANGELES,WA,98362,Clallam,9,116,06,"Port Angeles, WA","Clallam County Port District, WA", ,5.0, ,48.141211,-123.43683, , , , , ,91097,3,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13740369.5765,6128931.1597,235,-123.43184,48.132528,0282,CLM,ANCHORAGE PORT ANGELES HARBOR, ,Anchorage, ,PORT ANGELES,WA,98362,Clallam,9,116,06,"Port Angeles, WA","Clallam County Port District, WA", ,5.0, ,48.132528,-123.43184, , , , , ,91097,4,"Units (Ferried Autos, Passengers, Railway Cars) | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Other Chemicals and Related Products |", , , , , , , , , , ,01-JAN-1990, 
-13741067.5497,6127729.4984,236,-123.43811,48.125323,0285,CLM,SHIP SIDE FUELING, ,Dock, ,PORT ANGELES,WA,98362,Clallam,9,116,06,"Port Angeles, WA","Clallam County Port District, WA", ,5.0, ,48.125323,-123.43811, , , , , ,91097,10,"Gasoline, Jet Fuel, Kerosene", , , , , , , , , , ,01-JAN-1990, 
-13741150.1487,6129373.0066,237,-123.438852,48.135177,028A,CLM,FIBREBOARD PRODS INC-OIL DOCK, ,Dock, ,PORT ANGELES,WA,98362,Clallam,9,112,06,"Port Angeles, WA","Clallam County Port District, WA", ,5.0, ,48.135177,-123.438852, , , , , ,91097,830, , , , , , , , , , , ,01-JAN-1990, 
-13643739.8057,5716902.243,260,-122.5638,45.60266,0296,VAN,GOVERNMENT CUT, ,Dock, ,VANCOUVER,WA,98664,Clark,11,116,03,"Columbia River between Vancouver, WA and The Dalles, OR","Port of Vancouver USA, WA", ,112.0, ,45.60266,-122.5638, , , , , ,90112,205,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13637261.0113,5714620.8697,277,-122.5056,45.58832,029Q,VAN,FISHERS LANDING, ,Dock, ,VANCOUVER,WA,98683,Clark,11,116,03,"Columbia River between Vancouver, WA and The Dalles, OR","Port of Vancouver USA, WA", ,115.0, ,45.58832,-122.5056, , , , , ,90115,111,"Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material", , , , , , , , , , ,01-JAN-1990, 
-13635068.0174,5714150.0312,280,-122.4859,45.58536,029U,VAN,COLUMBIA R QUARRY WASH, ,Dock, ,VANCOUVER,WA,98683,Clark,11,116,03,"Columbia River between Vancouver, WA and The Dalles, OR","Port of Vancouver USA, WA", ,116.0, ,45.58536,-122.4859, , , , , ,90116,501,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13664226.2655,5724570.1159,288,-122.747833,45.650831,02A6,VAN,MATHEWS POINT WASH, ,Dock, ,VANCOUVER,WA,98660,Clark,11,116,03,"Columbia and Lower Willamette Rivers below Vancouver, WA and Portland, OR","Port of Vancouver USA, WA", ,103.0, ,45.650831,-122.747833, , , , , ,90103,1,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material", , , , , , , , , , ,01-JAN-1990, 
-13662385.8204,5723796.0416,294,-122.7313,45.64597,02AE,VAN,ALCOA ALUMINA DOCK (R/ALUMINA), ,Dock, ,VANCOUVER,WA,98660,Clark,11,116,03,"Columbia and Lower Willamette Rivers below Vancouver, WA and Portland, OR","Port of Vancouver USA, WA", ,103.0, ,45.64597,-122.7313, , , , , ,90103,101,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13658752.2409,5721723.8403,296,-122.698659,45.632955,02AK,PDX,"PORT OF VANCOUVER TERM 2, B-1-2-3-4", ,Dock, ,PORTLAND,WA,97217,Clark,11,116,03,"Columbia and Lower Willamette Rivers below Vancouver, WA and Portland, OR","Port of Vancouver USA, WA", ,105.0, ,45.632955,-122.698659, , , , , ,90105,61, , , , , , , , , , , ,01-JAN-1990, 
-13659184.0492,5722067.2368,297,-122.702538,45.635112,02AL, ,"VANCOUVER OIL TERM,B-5 (R&SPETRO/R-LIQ FE", ,Dock, , ,WA, ,Clark,11,116,03,"Columbia and Lower Willamette Rivers below Vancouver, WA and Portland, OR","Port of Vancouver USA, WA", ,105.0, ,45.635112,-122.702538, , , , , ,90105,70,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases", , , , , , , , , , ,01-JAN-1990, 
-13097877.8921,5893486.8167,349,-117.660239,46.701501,02CC, ,RICE BAR MILE 93, ,Dock, ,POMEROY,WA,99347,Garfield,23,112,05,"Snake River, OR, WA and ID", , ,93.0, ,46.701501,-117.660239, , , , , ,92733,2, , , , , , , , , , , ,01-JAN-1990, 
-13255847.1513,5813720.7643,357,-119.079301,46.207854,02CN,KWC,BIG PASCO WASH, ,Dock, ,KENNEWICK,WA,99337,Franklin,21,112,04,"Columbia River and Tributaries above Mcnary Lock and Dam to Kennewick, WA", , ,327.0, ,46.207854,-119.079301, , , , , ,92327,502, , , , , , , , , , , ,01-JAN-1990, 
-13297130.8751,5890871.0827,374,-119.450159,46.685384,02D6, ,MIDSTREAM, ,Open Water, ,MESA,WA,99343,Benton,5,112,04,"Columbia River Between Wenatchee and Kettle Falls, WA", , ,370.0, ,46.685384,-119.450159, , , , , ,92370,1, , , , , , , , , , , ,01-JAN-1990, 
-13250305.3331,5810213.6728,375,-119.029518,46.186047,02D7,KWC,SNAKE RIVER MOUTH, ,Junction, ,KENNEWICK,WA,99337,Benton,5,112,04,"Snake River, OR, WA and ID", , ,0.0, ,46.186047,-119.029518, , , , , ,92640,2, , , , , , , , , , , ,01-JAN-1990, 
-13628914.9438,6052398.0993,474,-122.430626,47.671627,01HR, ,OPEN WATER, ,Open Water, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.671627,-122.430626, , , , , ,91214,1,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases", , , , , , , , , , ,01-JAN-1990, 
-13626976.4262,6047062.8901,475,-122.413212,47.639344,01HS, ,FOUR MILE ROCK, ,Dock, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.639344,-122.413212, , , , , ,91214,40, , , , , , , , , , , ,01-JAN-1990, 
-13628909.7118,6052402.8934,476,-122.430579,47.671656,01HV,SEA,OPEN WATER, ,Open Water, ,SEATTLE,WA,98199,King,33,112,07,"Lake Washington Ship Canal, WA","Port of Seattle, WA", ,3.0, ,47.671656,-122.430579, , , , , ,91217,1,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | All Manufactured Equipment, Machinery and Products", , , , , , , , , , ,01-JAN-1990, 
-13625243.4044,6051421.3092,477,-122.397644,47.665718,01HW,SEA,HIRAM M. CHITTENDEN LOCK, ,Lock and/or Dam, ,SEATTLE,WA,98107,King,33,113,07,"Lake Washington Ship Canal, WA","Port of Seattle, WA", ,1.4, ,47.665718,-122.397644, ,Current Owner and Operator: U. S. Army Corps of Engineers, , , ,91217,10,"Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Chemicals and Related Products | Other Chemicals and Related Products | Crude Materia", , , , , , , , , , ,06-JUL-1992, 
-13628919.3966,5987498.1784,479,-122.430666,47.277566,01J0,TIW,BROWNS POINT, ,Dock, ,TACOMA,WA,98422,Pierce,53,112,09,"Tacoma Harbor, WA","Tacoma, WA", ,3.0, ,47.277566,-122.430666, , , , , ,91190,10, , , , , , , , , , , ,01-JAN-1990, 
-13628919.3966,5987498.1784,481,-122.430666,47.277566,01J2,TIW,HYDABOS STORAGE TACOMA, ,Dock, ,TACOMA,WA,98422,Pierce,53,112,09,"Tacoma Harbor, WA","Tacoma, WA", ,3.0, ,47.277566,-122.430666, , , , , ,91190,985,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13627121.1415,6039483.2873,482,-122.414512,47.593446,01J3, ,OPEN WATER, ,Open Water, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.593446,-122.414512, , , , , ,91208,1, , , , , , , , , , , ,01-JAN-1990, 
-13622428.8024,6039330.4359,483,-122.37236,47.59252,01J4, ,ANCHORAGE SEATTLE, ,Anchorage, ,SEATTLE,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.59252,-122.37236, , , , , ,91208,2,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Primary Non-Ferrous Metal Products;Fabricated Metal Prods", , , , , , , , , , ,01-JAN-1990, 
-13622564.3895,6038958.553,484,-122.373578,47.590267,01J5, ,SHIP SIDE FUELING, ,Dock, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.590267,-122.373578, , , , , ,91208,3, , , , , , , , , , , ,01-JAN-1990, 
-13622802.6132,6023472.0344,485,-122.375718,47.496358,01J6, ,SEOLA BEACH, ,Dock, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.496358,-122.375718, , , , , ,91208,4, , , , , , , , , , , ,01-JAN-1990, 
-13625391.5706,6045916.8859,486,-122.398975,47.632407,01J7, ,MAGNOLIA BLUFF, ,Dock, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.632407,-122.398975, , , , , ,91208,5, , , , , , , , , , , ,01-JAN-1990, 
-13620801.3114,6036240.8106,487,-122.35774,47.573799,01JC,BII,DUWAMISH WATERWAY, ,Dock, ,BAINBRIDGE ISLAND,WA,98110,King,33,116,07,"Seattle, WA","Port of Seattle, WA", ,1.0, ,47.573799,-122.35774, , , , , ,91209,1, , , , , , , , , , , ,10-DEC-1992, 
-13618722.4199,6032282.404,488,-122.339065,47.549804,01JD, ,OPEN WATER - BUOY & DOLPHINS, ,Open Water, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.549804,-122.339065, , , , , ,91209,2,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated", , , , , , , , , , ,01-JAN-1990, 
-13619545.2936,6033827.7733,489,-122.346457,47.559173,01JH, ,KIMBERLY (KELLOG ISLAND), ,Fleeting Area, , ,WA, ,King,33,113,07,"Seattle, WA","Port of Seattle, WA", ,3.0, ,47.559173,-122.346457, , , , , ,91209,200, , , , , , , , , , , ,01-JAN-2014, 
-13289036.3896,5767993.8463,495,-119.377445,45.922846,01JW, ,SAND BEACH, ,Dock, ,PLYMOUTH,WA,99346,Benton,5,112,04,"Columbia River above The Dalles Dam, WA and OR to Mcnary Lock and Dam, OR and WA", , ,288.0, ,45.922846,-119.377445, , , , , ,90288,904,Fish, , , , , , , , , , ,01-JAN-1990, 
-13455150.6733,5726773.4345,514,-120.869675,45.664665,01KQ,GLA,MIDSTREAM, ,Open Water, ,GOLDENDALE,WA,98620,Klickitat,39,112,04,"Columbia River above The Dalles Dam, WA and OR to Mcnary Lock and Dam, OR and WA", , ,206.0, ,45.664665,-120.869675, , , , , ,90206,900, , , , , , , , , , , ,01-JAN-1990, 
-13526533.7402,5736782.9787,531,-121.51092,45.727469,01ME,WEI,HOOD RIVER BRIDGE, ,Dock, ,WHITE SALMON,WA,98672,Klickitat,39,112,04,"Columbia River between Vancouver, WA and The Dalles, OR", , ,169.0, ,45.727469,-121.51092, , , , , ,90169,806,"Forest Products, Lumber, Logs, Woodchips", , , , , , , , , , ,01-JAN-1990, 
-13522764.9075,5733844.3264,532,-121.477064,45.709038,01MH,XCF,BINGEN WASH, ,Dock, ,BINGEN,WA,98605,Klickitat,39,112,04,"Columbia River between Vancouver, WA and The Dalles, OR", , ,171.0, ,45.709038,-121.477064, , , , , ,90171,101, , , , , , , , , , , ,01-JAN-1990, 
